analyze-counts --verbose=1 --binary=false --counts-dim=1280 'ark:ali-to-pdf exp_FG/tri_8_2000_ali/final.mdl "ark:gunzip -c exp_FG/tri_8_2000_ali/ali.*.gz |" ark:- |' exp_FG/blstm4i/ali_train_pdf.counts 
ali-to-pdf exp_FG/tri_8_2000_ali/final.mdl 'ark:gunzip -c exp_FG/tri_8_2000_ali/ali.*.gz |' ark:- 
LOG (ali-to-pdf[5.5.1074~1-71f3]:main():ali-to-pdf.cc:68) Converted 2919 alignments to pdf sequences.
LOG (analyze-counts[5.5.1074~1-71f3]:main():analyze-counts.cc:191) Printing...
### The sorted count table,
count	(norm),	id	(symbol):
212	(0.000254068),	162	
213	(0.000255267),	418	
213	(0.000255267),	987	
213	(0.000255267),	1015	
213	(0.000255267),	1038	
214	(0.000256465),	69	
214	(0.000256465),	157	
214	(0.000256465),	726	
214	(0.000256465),	910	
215	(0.000257663),	904	
215	(0.000257663),	964	
216	(0.000258862),	477	
216	(0.000258862),	764	
216	(0.000258862),	1100	
217	(0.00026006),	153	
217	(0.00026006),	161	
217	(0.00026006),	567	
217	(0.00026006),	685	
217	(0.00026006),	845	
217	(0.00026006),	887	
218	(0.000261259),	1065	
219	(0.000262457),	518	
219	(0.000262457),	543	
219	(0.000262457),	798	
219	(0.000262457),	875	
220	(0.000263656),	181	
220	(0.000263656),	391	
220	(0.000263656),	660	
220	(0.000263656),	851	
220	(0.000263656),	947	
220	(0.000263656),	981	
220	(0.000263656),	1248	
221	(0.000264854),	314	
221	(0.000264854),	548	
221	(0.000264854),	746	
221	(0.000264854),	797	
222	(0.000266052),	202	
222	(0.000266052),	598	
223	(0.000267251),	1228	
224	(0.000268449),	274	
224	(0.000268449),	363	
224	(0.000268449),	837	
224	(0.000268449),	1094	
224	(0.000268449),	1124	
224	(0.000268449),	1208	
225	(0.000269648),	248	
227	(0.000272045),	253	
227	(0.000272045),	847	
228	(0.000273243),	1049	
228	(0.000273243),	1118	
229	(0.000274441),	537	
229	(0.000274441),	836	
229	(0.000274441),	1053	
230	(0.00027564),	915	
231	(0.000276838),	1252	
231	(0.000276838),	1276	
232	(0.000278037),	185	
232	(0.000278037),	258	
232	(0.000278037),	467	
233	(0.000279235),	173	
233	(0.000279235),	487	
233	(0.000279235),	738	
234	(0.000280434),	136	
234	(0.000280434),	139	
234	(0.000280434),	169	
234	(0.000280434),	429	
234	(0.000280434),	920	
234	(0.000280434),	1156	
235	(0.000281632),	134	
235	(0.000281632),	850	
235	(0.000281632),	1044	
235	(0.000281632),	1162	
236	(0.000282831),	194	
236	(0.000282831),	654	
236	(0.000282831),	740	
236	(0.000282831),	773	
236	(0.000282831),	1091	
236	(0.000282831),	1129	
237	(0.000284029),	212	
237	(0.000284029),	674	
237	(0.000284029),	1045	
238	(0.000285227),	337	
238	(0.000285227),	553	
238	(0.000285227),	768	
238	(0.000285227),	1021	
239	(0.000286426),	106	
239	(0.000286426),	496	
239	(0.000286426),	675	
239	(0.000286426),	999	
239	(0.000286426),	1052	
240	(0.000287624),	266	
240	(0.000287624),	693	
240	(0.000287624),	723	
240	(0.000287624),	899	
241	(0.000288823),	54	
241	(0.000288823),	289	
241	(0.000288823),	696	
242	(0.000290021),	138	
243	(0.00029122),	892	
244	(0.000292418),	427	
244	(0.000292418),	523	
244	(0.000292418),	677	
244	(0.000292418),	1127	
244	(0.000292418),	1132	
244	(0.000292418),	1262	
245	(0.000293616),	12	
245	(0.000293616),	1057	
246	(0.000294815),	160	
246	(0.000294815),	281	
246	(0.000294815),	338	
246	(0.000294815),	368	
246	(0.000294815),	832	
246	(0.000294815),	1177	
246	(0.000294815),	1257	
247	(0.000296013),	11	
247	(0.000296013),	579	
247	(0.000296013),	707	
248	(0.000297212),	632	
249	(0.00029841),	309	
249	(0.00029841),	346	
249	(0.00029841),	955	
250	(0.000299609),	339	
250	(0.000299609),	376	
250	(0.000299609),	859	
250	(0.000299609),	942	
251	(0.000300807),	828	
251	(0.000300807),	1032	
251	(0.000300807),	1116	
252	(0.000302005),	201	
254	(0.000304402),	269	
254	(0.000304402),	316	
255	(0.000305601),	425	
255	(0.000305601),	435	
256	(0.000306799),	528	
256	(0.000306799),	796	
256	(0.000306799),	1134	
257	(0.000307998),	476	
257	(0.000307998),	587	
257	(0.000307998),	771	
257	(0.000307998),	900	
257	(0.000307998),	959	
258	(0.000309196),	381	
258	(0.000309196),	415	
259	(0.000310395),	67	
259	(0.000310395),	595	
259	(0.000310395),	1001	
260	(0.000311593),	218	
260	(0.000311593),	603	
261	(0.000312791),	45	
261	(0.000312791),	1254	
262	(0.00031399),	432	
262	(0.00031399),	801	
262	(0.00031399),	885	
262	(0.00031399),	1195	
262	(0.00031399),	1224	
263	(0.000315188),	701	
263	(0.000315188),	781	
263	(0.000315188),	886	
264	(0.000316387),	53	
264	(0.000316387),	100	
264	(0.000316387),	681	
264	(0.000316387),	807	
264	(0.000316387),	1190	
264	(0.000316387),	1240	
265	(0.000317585),	234	
265	(0.000317585),	988	
265	(0.000317585),	989	
